pressure_loss,size_1/2_0.042,size_3/4_0.063,size_1_0.084,size_1-1/4_0.105,size_1-1/2_0.126,size_2_0.167
0.5,0.5,1,2.5,4,8,19
1,0.5,1.5,3.5,7,12.5,29
2,1,2.5,6,11.5,20,50
3,1,3,8,15,25.5,73
4,1.5,4,9.5,18,31,100
5,1.5,5,10.5,21.5,37,116
6,2,6,12.5,24,42,135
7,2,6.5,14,26.5,50,
8,2,6.5,15,28,55,
9,2.5,7,16.5,31,,
10,2.5,8,17.5,34,,
11,2.5,9,19,,,
12,2.5,9,20,,,
13,3,9.5,20.5,,,
14,3,10,,,,
15,3,10,,,,
16,3,10.5,,,,
17,3.5,11,,,,
18,3.5,,,,,
19,3.5,,,,,
20,3.5,,,,,
21,4,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
