pressure_loss,size_1/2_0.042,size_3/4_0.063,size_1_0.084,size_1-1/4_0.105,size_1-1/2_0.126,size_2_0.167,size_2-1/2_0.209,size_3_0.251,size_4_0.334
0.5,0.5,1.5,3.5,8,14,35,83,185,538
1,1,2.5,6,12.5,22.5,60,160,330,882
2,1,3.5,9.5,20,35,116,290,538,1611
3,1.5,5,12.5,25.5,50,165,390,723,1725
4,2,6,15.5,31,60,215,455,726,
5,2,7,18,37,73,250,,,
6,2.5,8,20,42,86,,,,
7,2.5,9,22.5,50,103,,,,
8,3,9.5,24,55,,,,,
9,3,10,25.5,,,,,,
10,3.5,10.5,27.5,,,,,,
11,3.5,11.5,28.5,,,,,,
12,3.5,12.5,,,,,,,
13,4,13,,,,,,,
14,4,14,,,,,,,
15,4,14.5,,,,,,,
16,5,,,,,,,,
17,5,,,,,,,,
18,5,,,,,,,,
19,6,,,,,,,,
